id	output
["0x5438e884c621d5db08fA605B53ca04c5B33a623A",130]	150
["0xc2026f3fb6fc51F4EcAE40a88b4509cB6C143ed4",130]	10000
["0xDaC26c3ffe00ad0656f8Cd8752186d2f7D9ae789",130]	500
["0x308Df3F80b07C73680F1eCC411EF4d52235e0e80",130]	500
["0x31bAfd5D04580F71a808ae646BB787d38e9362f9",130]	100
["0x95A0deC1E4fE633AEA5AD725375071a3a9F24501",130]	300
["0x41Efd838041eE4D530C9a6826b65Be88f2aec999",130]	400
["0x9D9eE4DCa4B15Ae69Ad1F93fcE1C6896A7e13aB1",130]	400
["0x5c7E1F0dCFA6D4F300C55BaB41f27289c88A202A",130]	100
["0x735AC9EB60E9988147A6A3e79893C90D5B6b2f9F",130]	100
["0xC6b8E3559feb231d7769c12872FFBE95c3E20Ff7",130]	300
["0xA3d3b11efF5f9B01F743cD6403aB066887292d43",130]	100
["0x4DD903018D8e474c38c2daafdb6BDf0F62A40E75",130]	300
["0xc22fad66665343d385608cc45d2e1484f9ba8d6b",999]	980
["0x7319ac5bb90164191bd236c16000fa3f1c29e456",999]	20
["0xbe7b56b3fb81f788c09da8bde6e0e5024869aaac",999]	2500
["0xa579d38ef405c381e68d2f78ef71289bfcd87e9d",999]	2500
["0x955dadf7bd49c941b6c5f9c19ee845c656cff85d",999]	25
["0xc025fdb71f748a13b4aa4b703369f78d42bdcd38",999]	100
["0x7fb49675fe9b32ef36b27895c7a1257f58a17e35",999]	2995
["0xd09487cc703ea239026bd139907af4cbb7f8891c",999]	500
["0x97584240245b1ec7f890c4446b539c0ec0016ccd",999]	1995
["0xe86b14c11ec72a66892b1f38a85a76e160b0269c",999]	10000
["0x28973cbc1a222faefa314454985f1788b26234ec",999]	2500
["0x0be5da8dd2e911f18f399ae947d998527a770f60",999]	5000
["0xf109d2fd6f2d0e8bdb90be054c36da624d75ddab",999]	10000
["0x4f801b1aa77dabe8d61baa9f419e93fb8b257f9f",999]	2500
["0xf7179a2d763b1d4754e614df9898048ab9c8608b",999]	2500
["0x1f65d89680e19aca52132079c5790da8e641127c",999]	2500
["0xa34f97e67b3876420df037ae3f78f97da243323e",999]	10000
["0x97d8aa32452d8db04119dfd2e87328ad4c4b9424",999]	2500
["0x3ff3aa9aa3f58e3e242ce4191ccc6339a2008a91",999]	2500
["0x888b0f80b2be0528a43ce7b1d2f1cddf917c95ba",999]	2500
["0x3f46bf845fd540446774664b7aa892645c2e4575",999]	5000
["0x93719b3a73a71c9930de58cbf19d1b552d663f48",999]	100
["0xc0654301e6c7bc2f5dfcaf5906fc46355af2f3d4",999]	100
["0x397fe72f3c5e50d7f1b1d691cade6ce93345b731",999]	2500
["0x0f5ae63430d303c364617597edd479a01a6d20c2",999]	100
["0xd5ae1936f7ad0e3f5eb35439042a7b6e1323bfce",999]	100
["0x4d6c579bd2e4d7f899ca90dd73ea353e6a12b86a",999]	2500
["0x2fd0b7075e362a5ad9ee6f7171c2a4b74915152b",999]	500
["0xc36381d6dc6712acdbaa5711f56483b1c46bd470",999]	100
["0xd42f95978c7fc3130b26ff0c890303917047dada",999]	500
["0xf2204a144ab93bb258c00cced07032d1b5fdecd7",999]	100
["0x931027a022337522510fb089f70994b50b8a25d7",999]	500
["0x76416038fd9878b68771ddadd80c3331e290220f",999]	500
["0x88d07b01b584050db53057000ccb944af0358ffa",999]	10000
["0x4c3078122fe4f946a6dd3bff487c19661dea9314",999]	980
["0xe76c530313d3b39649cf18802981f13fd43fe469",999]	5000
["0x4bec1bf69c9bdf0b8cf7bba7dafb9eed0bd41571",999]	10000
["0xed5bbcdfb53a816916355c42e1c3490abae29b4e",999]	2500
["0x65151e30a7ca65d0c37691164b0cdc7776db62d6",999]	100
["0x7037f1ce796d92d626f1497636f9779a7f706fdd",999]	500
["0x5f4761b6e29f6d2c74c9e8a32d7fac6f60416ab4",999]	500
["0x898bae326c72001183817e13707a872fed44439b",999]	10000
["0xb47502e6e94f7675e57f2e125b7f2bd09db36303",999]	10000
["0x5425016e43089bc30ff9c89198234cba7c908c84",999]	100
["0x6ca36cce634d19d2bae93d5e3afaa95b3ad11aa9",999]	2500
["0xa5134ca96db06a8e0aaab40c502867b4bf02dffe",999]	10000
["0x57453fa312f3582fdba790615bbf230907c0ad60",999]	2500
["0x266b65058155c1d6dfb5b0b649723954011aa62d",999]	2500
["0xc44b659618a452b30a41a31a0ff7de63aba341d2",999]	10000
["0x024f32df85b52a12ab1bc408fa1c9dd4b432e8ee",999]	10000
["0xe198818c76344084afbc9239d4d3411fb29a8998",999]	2500
["0x731b8b935b14b0e9660884927e24e0b46918a2ff",999]	100
["0x105b35c6d79ce4be71cb319c2e89deaa9ed4a3e3",999]	2500
["0x31a15293aa341743943a9370501f7e7d76020987",999]	2500
["0xf24cfbb85826ed41db917eafea2db89481c41eed",999]	2500
["0xaa7b9a567e63ae90efce8abf53a9175827553b3f",999]	10000
["0x53fced0bef7dcd2c3f22fa77959af19acb2d8793",999]	10000
["0x1adb022127b150559acd3aa8b02809cc001aae07",999]	500
["0xf2e55cfc59f19918c41d0a3477e50273f9b28a8d",999]	10000
["0xc1ceee640810a8619b91a57667a4c70aa69e70a9",999]	5000
["0x2d6129e2ce5130d25cd57527069f4cd6e3ecfe32",999]	2500
["0x580e85030f2991e1fea48a4b715ec86d739b05ae",999]	7500
["0x460e831c4afea131c47c11dd07700a7f3f04c57b",999]	2500
["0x006418dcd73f6da03a667ad161ccb9b39ceeea60",999]	20000
["0xdb931e6d4d41ec4f5ee121702d51241b16b49e4d",999]	2500
["0x64f66b4b36b2dcda0b2135ac3fb5f51d26f81267",999]	10000
["0xf95442cc8836162421ba777cee5c452aa01a742c",999]	5000
["0xf286be7468d6536478101c5c43a6d95391a67283",999]	2500
["0xf18ec0caaeb02f590158ecfb06c6108c818e0935",999]	2500
["0x3e26cafc93128f122ffac419ae87ff14f0fc0a6d",999]	10000
["0x316d9a6b60d07bc171d6153432e12583f18bf2e5",999]	10000
["0x0e7e71e7481a67eeeaf395dc53cfd62816842946",999]	2500
["0x2757c5d4b3d6a99dfc03b7e3c49c1edd258057ec",999]	500
["0xaa245bc7328f40d77a50175435d438dc2821dd62",999]	500
["0xe2cbc3dc6ca620ff1985d3ce83090a0f65551391",999]	5000
["0x13b146978b03cda11a429d8b1b8bb179d3bd2af3",999]	2500
["0x12f26763e6838dfb90f1d9314d066327de1ef962",999]	20000
{"blockNumber":"16982480","chainId":999,"poolAddress":"0x0be5da8dd2e911f18f399ae947d998527a770f60"}	5000
{"blockNumber":"16982637","chainId":999,"poolAddress":"0x0be5da8dd2e911f18f399ae947d998527a770f60"}	5000
{"blockNumber":"16983096","chainId":999,"poolAddress":"0x0be5da8dd2e911f18f399ae947d998527a770f60"}	5000
{"blockNumber":"16983174","chainId":999,"poolAddress":"0x0be5da8dd2e911f18f399ae947d998527a770f60"}	5000
{"blockNumber":"16985514","chainId":999,"poolAddress":"0x0be5da8dd2e911f18f399ae947d998527a770f60"}	5000
{"blockNumber":"16992245","chainId":999,"poolAddress":"0x0be5da8dd2e911f18f399ae947d998527a770f60"}	5000
{"blockNumber":"16989382","chainId":999,"poolAddress":"0x888b0f80b2be0528a43ce7b1d2f1cddf917c95ba"}	2500
{"blockNumber":"16992085","chainId":999,"poolAddress":"0xa34f97e67b3876420df037ae3f78f97da243323e"}	10000
{"blockNumber":"16992104","chainId":999,"poolAddress":"0xa34f97e67b3876420df037ae3f78f97da243323e"}	10000
{"blockNumber":"16992116","chainId":999,"poolAddress":"0xa34f97e67b3876420df037ae3f78f97da243323e"}	10000
{"blockNumber":"16982000","chainId":999,"poolAddress":"0xc22fad66665343d385608cc45d2e1484f9ba8d6b"}	2500
{"blockNumber":"16982022","chainId":999,"poolAddress":"0xc22fad66665343d385608cc45d2e1484f9ba8d6b"}	2500
{"blockNumber":"16982025","chainId":999,"poolAddress":"0xc22fad66665343d385608cc45d2e1484f9ba8d6b"}	2500
{"blockNumber":"16986855","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16986862","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16986988","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16987061","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16987074","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16987090","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16987101","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16987106","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16987161","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16987173","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16987199","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16987297","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16987328","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16987348","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16987499","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16987662","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16987706","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16987738","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16988476","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16988533","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16988582","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16988634","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16988671","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16988793","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16988911","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16988947","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16988970","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16989001","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16989228","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16990872","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16990892","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16990905","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16990926","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16990969","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16990970","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16992133","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16992201","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16992204","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16992246","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16992283","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16992325","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16992331","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16992337","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16992369","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16992371","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16992398","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16992401","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16992418","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16992427","chainId":999,"poolAddress":"0x1f65d89680e19aca52132079c5790da8e641127c"}	2500
{"blockNumber":"16982092","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16982248","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16982282","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16982307","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16982353","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16982503","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16982548","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16982553","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16982665","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16982863","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16982933","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16983239","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16984189","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16984197","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16984323","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16985438","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16985451","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16986181","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16986345","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16986408","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16986483","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16987248","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16987472","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16987640","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16987702","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16988383","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16988390","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16988525","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16988581","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16988606","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16988620","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16988695","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16988859","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16989417","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16989537","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16989582","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16989653","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16990538","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16990572","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16990682","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16990695","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16990727","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16990786","chainId":999,"poolAddress":"0x28973cbc1a222faefa314454985f1788b26234ec"}	2500
{"blockNumber":"16982305","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16982353","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16982365","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16982510","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16982554","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16982635","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16982649","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16982920","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16983124","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16984148","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16984182","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16984275","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16984363","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16984785","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16985156","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16985171","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16985180","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16985187","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16985258","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16985293","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16985356","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16985360","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16985364","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16985420","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16985514","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16986397","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16986476","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16986802","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16986811","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16987106","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16987272","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16987301","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16987452","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16987468","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16987470","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16987500","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16987675","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16987685","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16988540","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16988616","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16988637","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16988695","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16988826","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16989004","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16989537","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16989557","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16989595","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16989726","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16990570","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16990681","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16990701","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16990731","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16990753","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16990791","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16990812","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16990895","chainId":999,"poolAddress":"0x97d8aa32452d8db04119dfd2e87328ad4c4b9424"}	2500
{"blockNumber":"16982591","chainId":999,"poolAddress":"0xa579d38ef405c381e68d2f78ef71289bfcd87e9d"}	2500
{"blockNumber":"16982663","chainId":999,"poolAddress":"0xa579d38ef405c381e68d2f78ef71289bfcd87e9d"}	2500
{"blockNumber":"16982678","chainId":999,"poolAddress":"0xa579d38ef405c381e68d2f78ef71289bfcd87e9d"}	2500
{"blockNumber":"16982690","chainId":999,"poolAddress":"0xa579d38ef405c381e68d2f78ef71289bfcd87e9d"}	2500
